artist,song,label,position,start_date,end_date
Taylor Swift feat. Brendon Urie of Panic! At The Disco,Me!,Taylor Swift Productions,58,14.06.2019,20.06.2019
Katy Perry,Never Really Over,Capitol,59,14.06.2019,20.06.2019
Shindy,Affalterbach,SME - Friends With Money,60,14.06.2019,20.06.2019
Kygo and Rita Ora,Carry On,SME - RCA International,61,14.06.2019,20.06.2019
Pedro Capó,Calma,SME - Sony Music,62,14.06.2019,20.06.2019
Ufo361 feat. Luciano,Gib Gas,Stay High,63,14.06.2019,20.06.2019
Samra,Harami,Universal Domestic Urban,64,14.06.2019,20.06.2019
Gaullin,Moonlight,SME - B1 Recordings,65,14.06.2019,20.06.2019
Nico Santos,Unforgettable,Virgin Records,66,14.06.2019,20.06.2019
Alec Benjamin,Let Me Down Slowly,Atlantic,67,14.06.2019,20.06.2019
Capital Bra,Prinzessa,Universal Domestic Urban,68,14.06.2019,20.06.2019
Ellie Goulding,Sixteen,Polydor,69,14.06.2019,20.06.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,70,14.06.2019,20.06.2019
Calvin Harris & Rag'n'Bone Man,Giant,SME - Columbia,71,14.06.2019,20.06.2019
Capital Bra x Samra,Wir ticken,Universal Domestic Urban,72,14.06.2019,20.06.2019
Panic! At The Disco,High Hopes,Atlantic,73,14.06.2019,20.06.2019
Moe Phoenix feat. Eno,3%,Life Is Pain,74,14.06.2019,20.06.2019
Post Malone,Wow.,Republic Records,75,14.06.2019,20.06.2019
Matt Simons,Open Up,Pias,76,14.06.2019,20.06.2019
Ardian Bujupi,Wallah ich leb,SME - Columbia Domestic,77,14.06.2019,20.06.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,78,14.06.2019,20.06.2019
KC Rebell feat. Summer Cem & Capital Bra,DNA,Rebell Army,79,14.06.2019,20.06.2019
Younotus & Janieck & Senex,Narcotic,SME - B1 Recordings,80,14.06.2019,20.06.2019
"Samra feat. Capital Bra, Brudi30 & Kalazh44",Ghetto,Universal Domestic Urban,81,14.06.2019,20.06.2019
Loud Luxury feat. Brando,Body,Kontor Records,82,14.06.2019,20.06.2019
Sido,Das Buch,Universal Domestic Urban,83,14.06.2019,20.06.2019
Eno,Blackberry Sky,Alles Oder Nix Records,84,14.06.2019,20.06.2019
Kontra K,Alles was sie will,BMG,85,14.06.2019,20.06.2019
Miley Cyrus,Mother's Daughter,SME - RCA International,86,14.06.2019,20.06.2019
Rammstein,Radio,Rammstein,87,14.06.2019,20.06.2019
Shirin David,Gib ihm,Shirin David Music,88,14.06.2019,20.06.2019
YG feat. Tyga & Jon Z,Go Loko,Def Jam,89,14.06.2019,20.06.2019
Young Thug feat. J. Cole & Travis Scott,The London,300 Entertainment,90,14.06.2019,20.06.2019
Johannes Oerding,An guten Tagen,SME - Columbia Domestic,91,14.06.2019,20.06.2019
KC Rebell,Quarterback,Rebell Army,92,14.06.2019,20.06.2019
Gamper & Dadoni feat. Emily Roberts,Bittersweet Symphony,Big Top Amsterdam,93,14.06.2019,20.06.2019
Mathea,2x,Earcandy Recordings,94,14.06.2019,20.06.2019
Ufo361 feat. RIN,Next,Stay High,95,14.06.2019,20.06.2019
KC Rebell,Alleen,Rebell Army,96,14.06.2019,20.06.2019
Kontra K,Warnung,BMG,97,14.06.2019,20.06.2019
Capital Bra feat. Nimo,Bye Bye,Universal Domestic Urban,98,14.06.2019,20.06.2019
Chris Brown feat. Drake,No Guidance,SME - Chris Brown,99,14.06.2019,20.06.2019
Kerstin Ott & Helene Fischer,Regenbogenfarben,Universal Domestic Polydor,100,14.06.2019,20.06.2019
"Kalazh44, Capital Bra & Samra feat. Nimo & Luciano",Royal Rumble,Kalazh44,1,21.06.2019,27.06.2019
Lil Nas X,Old Town Road,SME - Columbia,2,21.06.2019,27.06.2019
Summer Cem feat. Capital Bra,Diamonds,Banger Musik,3,21.06.2019,27.06.2019
Juju feat. Henning May,Vermissen,Jinx Music,4,21.06.2019,27.06.2019
Ed Sheeran & Justin Bieber,I Don't Care,Atlantic,5,21.06.2019,27.06.2019
Mero,Olabilir,Groove Attack TraX,6,21.06.2019,27.06.2019
Farid Bang feat. French Montana & Khaled,Maghreb Gang,Banger Musik,7,21.06.2019,27.06.2019
Samra & Capital Bra,Wieder Lila,Universal Domestic Urban,8,21.06.2019,27.06.2019
Billie Eilish,Bad Guy,Universal,9,21.06.2019,27.06.2019
Sarah Connor,Vincent,Universal Domestic Polydor,10,21.06.2019,27.06.2019
Luciano [DE],La haine,Universal Domestic Urban,11,21.06.2019,27.06.2019
Juju [DE],Hi Babe,Jinx Music,12,21.06.2019,27.06.2019
Loredana,Labyrinth,Loredana,13,21.06.2019,27.06.2019
Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,14,21.06.2019,27.06.2019
Fero47,NENENE,SME - Epic,15,21.06.2019,27.06.2019
Daddy Yankee feat. Snow,Con calma,Universal,16,21.06.2019,27.06.2019
Ufo361,Irina Shayk,Stay High,17,21.06.2019,27.06.2019
Avicii feat. Aloe Blacc,SOS,Universal,18,21.06.2019,27.06.2019
Sido feat. Yonii & Beka,Melatonin,Universal Domestic Urban,19,21.06.2019,27.06.2019
Bausa,Mary,Warner Music Germany,20,21.06.2019,27.06.2019
Mabel [UK],Don't Call Me Up,Polydor,21,21.06.2019,27.06.2019
KC Rebell feat. Gringo,Badewanne,Rebell Army,22,21.06.2019,27.06.2019
Shindy,Nautilus,SME - Friends With Money,23,21.06.2019,27.06.2019
Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days,SME - Epic,24,21.06.2019,27.06.2019
Capo,Alexander Wang,Warner Music Germany,25,21.06.2019,27.06.2019
RIN,Vintage,SME - Division,26,21.06.2019,27.06.2019
Dardan,Coco Mama,Universal Domestic Urban,27,21.06.2019,27.06.2019
Mero,Malediven,Groove Attack TraX,28,21.06.2019,27.06.2019
Kontra K,Letzte Träne,BMG,29,21.06.2019,27.06.2019
Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,30,21.06.2019,27.06.2019
Jonas Brothers,Sucker,Jonas Brothers Recording,31,21.06.2019,27.06.2019
Samra,Marlboro Rot,Universal Domestic Urban,32,21.06.2019,27.06.2019
Rammstein,Ausländer,Rammstein,33,21.06.2019,27.06.2019
Ed Sheeran feat. Chance The Rapper & PnB Rock,Cross Me,Atlantic,34,21.06.2019,27.06.2019
R3hab x A Touch Of Class,All Around The World (La La La),Virgin Records,35,21.06.2019,27.06.2019
Rammstein,Deutschland,Rammstein,36,21.06.2019,27.06.2019
Taylor Swift,You Need To Calm Down,Taylor Swift Productions,37,21.06.2019,27.06.2019
Olexesh,Barrio,Universal Domestic Urban,38,21.06.2019,27.06.2019
OneRepublic,Rescue Me,Interscope,39,21.06.2019,27.06.2019
Kontra K feat. Veysel,Blei,BMG,40,21.06.2019,27.06.2019
Dardan feat. Mozzik,A Milly,Universal Domestic Urban,41,21.06.2019,27.06.2019
Capital Bra feat. Summer Cem & KC Rebell,Rolex,Universal Domestic Urban,42,21.06.2019,27.06.2019
Shawn Mendes,If I Can't Have You,Island,43,21.06.2019,27.06.2019
Capital Bra,Cherry Lady,Universal Domestic Urban,44,21.06.2019,27.06.2019
Dominic Fike,3 Nights,SME - Columbia,45,21.06.2019,27.06.2019
Dennis Lloyd,Never Go Back,SME - Arista,46,21.06.2019,27.06.2019
Michael Schulte,Back To The Start,Very Us Records,47,21.06.2019,27.06.2019
C Arma,Yapma,C Arma,48,21.06.2019,27.06.2019
Lena,Don't Lie To Me,Universal Domestic Polydor,49,21.06.2019,27.06.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,50,21.06.2019,27.06.2019
Ardian Bujupi x Fero47,Wie im Traum,SME - Columbia Domestic,51,21.06.2019,27.06.2019
Robin Schulz feat. Harlœ,All This Love,Warner Music Germany,52,21.06.2019,27.06.2019
Imagine Dragons,Bad Liar,Interscope,53,21.06.2019,27.06.2019
Apache 207,Nicht wie du,SME - Two Sides,54,21.06.2019,27.06.2019
Vize,Glad You Came,Kontor Records,55,21.06.2019,27.06.2019
Pedro Capó,Calma,SME - Sony Music,56,21.06.2019,27.06.2019
Ava Max,Sweet But Psycho,Atlantic,57,21.06.2019,27.06.2019
Kontra K,Alles was sie will,BMG,58,21.06.2019,27.06.2019
Avicii,Heaven,Virgin Records,59,21.06.2019,27.06.2019
Juju [DE],Sommer in Berlin,Jinx Music,60,21.06.2019,27.06.2019
Younotus & Janieck & Senex,Narcotic,SME - B1 Recordings,61,21.06.2019,27.06.2019
Juju [DE],Ich müsste lügen,Jinx Music,62,21.06.2019,27.06.2019
Chris Brown feat. Drake,No Guidance,SME - Chris Brown,63,21.06.2019,27.06.2019
Pietro Lombardi,Bella Donna,Universal Domestic Polydor,64,21.06.2019,27.06.2019
YG feat. Tyga & Jon Z,Go Loko,Def Jam,65,21.06.2019,27.06.2019
The Prince Karma,Later Bitches,Kontor Records,66,21.06.2019,27.06.2019
Ava Max,So Am I,Atlantic,67,21.06.2019,27.06.2019
Mero,Wolke 10,Groove Attack TraX,68,21.06.2019,27.06.2019
Dynoro & Gigi D'Agostino,In My Mind,SME - B1 Recordings,69,21.06.2019,27.06.2019
DJ Snake & J Balvin feat. Tyga,Loco contigo,DJ Snake Music,70,21.06.2019,27.06.2019
Taylor Swift feat. Brendon Urie of Panic! At The Disco,Me!,Taylor Swift Productions,71,21.06.2019,27.06.2019
Katy Perry,Never Really Over,Capitol,72,21.06.2019,27.06.2019
Xavier Naidoo feat. Kontra K,Welt,SME - Naidoo Records,73,21.06.2019,27.06.2019
Juju [DE],Hardcore High,Jinx Music,74,21.06.2019,27.06.2019
Kygo and Rita Ora,Carry On,SME - RCA International,75,21.06.2019,27.06.2019
The Chainsmokers feat. Bebe Rexha,Call You Mine,SME - Disruptor Records,76,21.06.2019,27.06.2019
Ellie Goulding,Sixteen,Polydor,77,21.06.2019,27.06.2019
Veysel,Michel Vaillant,Universal Domestic Urban,78,21.06.2019,27.06.2019
Nico Santos,Unforgettable,Virgin Records,79,21.06.2019,27.06.2019
Juju [DE],Live Bitch,Jinx Music,80,21.06.2019,27.06.2019
Gaullin,Moonlight,SME - B1 Recordings,81,21.06.2019,27.06.2019
Alec Benjamin,Let Me Down Slowly,Atlantic,82,21.06.2019,27.06.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,83,21.06.2019,27.06.2019
Samra,Harami,Universal Domestic Urban,84,21.06.2019,27.06.2019
Majoe,Chellam,Banger Musik,85,21.06.2019,27.06.2019
Calvin Harris & Rag'n'Bone Man,Giant,SME - Columbia,86,21.06.2019,27.06.2019
Matt Simons,Open Up,Pias,87,21.06.2019,27.06.2019
Capital Bra,Prinzessa,Universal Domestic Urban,88,21.06.2019,27.06.2019
Panic! At The Disco,High Hopes,Atlantic,89,21.06.2019,27.06.2019
Post Malone,Wow.,Republic Records,90,21.06.2019,27.06.2019
Juju feat. Xavier Naidoo,Freisein,Jinx Music,91,21.06.2019,27.06.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,92,21.06.2019,27.06.2019
Drake feat. Rick Ross,Money In The Grave,Republic Records,93,21.06.2019,27.06.2019
Juju [DE],Coco Chanel,Jinx Music,94,21.06.2019,27.06.2019
Shindy,Affalterbach,SME - Friends With Money,95,21.06.2019,27.06.2019
Shirin David,Fliegst Du mit,Shirin David Music,96,21.06.2019,27.06.2019
Loud Luxury feat. Brando,Body,Kontor Records,97,21.06.2019,27.06.2019
KC Rebell feat. Summer Cem & Capital Bra,DNA,Rebell Army,98,21.06.2019,27.06.2019
Juju [DE],Bye Bye,Jinx Music,99,21.06.2019,27.06.2019
Eno,Blackberry Sky,Alles Oder Nix Records,100,21.06.2019,27.06.2019
Capital Bra x Samra,Tilidin,Universal Domestic Urban,1,28.06.2019,04.07.2019
Shawn Mendes & Camila Cabello,Señorita,Island,2,28.06.2019,04.07.2019
Lil Nas X,Old Town Road,SME - Columbia,3,28.06.2019,04.07.2019
Ed Sheeran & Justin Bieber,I Don't Care,Atlantic,4,28.06.2019,04.07.2019
Dardan feat. Eno,Wer macht Para 2,Universal Domestic Urban,5,28.06.2019,04.07.2019
Summer Cem feat. Capital Bra,Diamonds,Banger Musik,6,28.06.2019,04.07.2019
Juju feat. Henning May,Vermissen,Jinx Music,7,28.06.2019,04.07.2019
Shindy,EFH,SME - Friends With Money,8,28.06.2019,04.07.2019
"Kalazh44, Capital Bra & Samra feat. Nimo & Luciano",Royal Rumble,Kalazh44,9,28.06.2019,04.07.2019
Samra & Capital Bra,Wieder Lila,Universal Domestic Urban,10,28.06.2019,04.07.2019
Billie Eilish,Bad Guy,Universal,11,28.06.2019,04.07.2019
Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,12,28.06.2019,04.07.2019
Sero el Mero,Dein Fahrer,Groove Attack TraX,13,28.06.2019,04.07.2019
Farid Bang feat. French Montana & Khaled,Maghreb Gang,Banger Musik,14,28.06.2019,04.07.2019
Sarah Connor,Vincent,Universal Domestic Polydor,15,28.06.2019,04.07.2019
Daddy Yankee feat. Snow,Con calma,Universal,16,28.06.2019,04.07.2019
Loredana,Labyrinth,Loredana,17,28.06.2019,04.07.2019
Mero,Olabilir,Groove Attack TraX,18,28.06.2019,04.07.2019
Luciano [DE],La haine,Universal Domestic Urban,19,28.06.2019,04.07.2019
Milonair feat. Bonez MC,Autopilot,Chapter One,20,28.06.2019,04.07.2019
Juju [DE],Hi Babe,Jinx Music,21,28.06.2019,04.07.2019
Bausa,Mary,Warner Music Germany,22,28.06.2019,04.07.2019
Avicii feat. Aloe Blacc,SOS,Universal,23,28.06.2019,04.07.2019
Fero47,NENENE,SME - Epic,24,28.06.2019,04.07.2019
Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days,SME - Epic,25,28.06.2019,04.07.2019
Mabel [UK],Don't Call Me Up,Polydor,26,28.06.2019,04.07.2019
Ed Sheeran feat. Chance The Rapper & PnB Rock,Cross Me,Atlantic,27,28.06.2019,04.07.2019
Ufo361,Irina Shayk,Stay High,28,28.06.2019,04.07.2019
Shindy,Nautilus,SME - Friends With Money,29,28.06.2019,04.07.2019
LX & Maxwell,Strassenbande,187 Strassenbande,30,28.06.2019,04.07.2019
OneRepublic,Rescue Me,Interscope,31,28.06.2019,04.07.2019
R3hab x A Touch Of Class,All Around The World (La La La),Virgin Records,32,28.06.2019,04.07.2019
Dardan,Coco Mama,Universal Domestic Urban,33,28.06.2019,04.07.2019
Pedro Capó,Calma,Sony Music,34,28.06.2019,04.07.2019
Robin Schulz feat. Harlœ,All This Love,Warner Music Germany,35,28.06.2019,04.07.2019
Taylor Swift,You Need To Calm Down,Universal,36,28.06.2019,04.07.2019
KC Rebell feat. Gringo,Badewanne,Rebell Army,37,28.06.2019,04.07.2019
Jonas Brothers,Sucker,Jonas Brothers Recording,38,28.06.2019,04.07.2019
Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,39,28.06.2019,04.07.2019
Dominic Fike,3 Nights,SME - Columbia,40,28.06.2019,04.07.2019
RIN,Vintage,SME - Division,41,28.06.2019,04.07.2019
Shawn Mendes,If I Can't Have You,Island,42,28.06.2019,04.07.2019
Kontra K,Letzte Träne,BMG,43,28.06.2019,04.07.2019
Capo,Alexander Wang,Warner Music Germany,44,28.06.2019,04.07.2019
Fero47 feat. Kazad,Money,SME - Epic,45,28.06.2019,04.07.2019
Younotus & Janieck & Senex,Narcotic,B1 Recordings,46,28.06.2019,04.07.2019
DJ Snake & J Balvin feat. Tyga,Loco contigo,Geffen Records,47,28.06.2019,04.07.2019
Olexesh,Barrio,Universal Domestic Urban,48,28.06.2019,04.07.2019
Capital Bra feat. Summer Cem & KC Rebell,Rolex,Universal Domestic Urban,49,28.06.2019,04.07.2019
Samra,Marlboro Rot,Universal Domestic Urban,50,28.06.2019,04.07.2019
Rammstein,Deutschland,Rammstein,51,28.06.2019,04.07.2019
Bausa,Nacht,Warner Music Germany,52,28.06.2019,04.07.2019
Michael Schulte,Back To The Start,Very Us Records,53,28.06.2019,04.07.2019
Vize,Glad You Came,Kontor Records,54,28.06.2019,04.07.2019
Rammstein,Ausländer,Rammstein,55,28.06.2019,04.07.2019
Dennis Lloyd,Never Go Back,SME - Arista,56,28.06.2019,04.07.2019
Drake feat. Rick Ross,Money In The Grave,Republic Records,57,28.06.2019,04.07.2019
Yung Hurn,Cabrio,Live From Earth,58,28.06.2019,04.07.2019
Capital Bra,Cherry Lady,Universal Domestic Urban,59,28.06.2019,04.07.2019
Sido feat. Yonii & Beka,Melatonin,Universal Domestic Urban,60,28.06.2019,04.07.2019
C Arma,Yapma,C Arma,61,28.06.2019,04.07.2019
Imagine Dragons,Bad Liar,Interscope,62,28.06.2019,04.07.2019
Lena,Don't Lie To Me,Universal Domestic Polydor,63,28.06.2019,04.07.2019
Katy Perry,Never Really Over,Capitol,64,28.06.2019,04.07.2019
The Chainsmokers feat. Bebe Rexha,Call You Mine,SME - Columbia,65,28.06.2019,04.07.2019
Kontra K feat. Veysel,Blei,BMG,66,28.06.2019,04.07.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,67,28.06.2019,04.07.2019
Ava Max,Sweet But Psycho,Atlantic,68,28.06.2019,04.07.2019
Ardian Bujupi x Fero47,Wie im Traum,SME - Columbia Domestic,69,28.06.2019,04.07.2019
Mero,Malediven,Groove Attack TraX,70,28.06.2019,04.07.2019
Adel Tawil feat. Peachy,Tu m'appelles,BMG,71,28.06.2019,04.07.2019
The Prince Karma,Later Bitches,Kontor Records,72,28.06.2019,04.07.2019
Gamper & Dadoni feat. Emily Roberts,Bittersweet Symphony,Big Top Amsterdam,73,28.06.2019,04.07.2019
Nico Santos,Unforgettable,Virgin Records,74,28.06.2019,04.07.2019
YG feat. Tyga & Jon Z,Go Loko,Def Jam,75,28.06.2019,04.07.2019
Dardan feat. Mozzik,A Milly,Universal Domestic Urban,76,28.06.2019,04.07.2019
Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,77,28.06.2019,04.07.2019
Kygo and Rita Ora,Carry On,SME - RCA International,78,28.06.2019,04.07.2019
Ava Max,So Am I,Atlantic,79,28.06.2019,04.07.2019
Ellie Goulding,Sixteen,Polydor,80,28.06.2019,04.07.2019
Shindy,Affalterbach,SME - Friends With Money,81,28.06.2019,04.07.2019
Avicii,Heaven,Virgin Records,82,28.06.2019,04.07.2019
Alec Benjamin,Let Me Down Slowly,Atlantic,83,28.06.2019,04.07.2019
Mero,Wolke 10,Groove Attack TraX,84,28.06.2019,04.07.2019
Gaullin,Moonlight,B1 Recordings,85,28.06.2019,04.07.2019
Vize feat. Laniia,Stars,Kontor Records,86,28.06.2019,04.07.2019
Apache 207,Nicht wie du,SME - Two Sides,87,28.06.2019,04.07.2019
Alvaro Soler,La libertad,Airforce1,88,28.06.2019,04.07.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,89,28.06.2019,04.07.2019
Kontra K,Alles was sie will,BMG,90,28.06.2019,04.07.2019
Loud Luxury feat. Brando,Body,Kontor Records,91,28.06.2019,04.07.2019
Lil Nas X,Panini,SME - Columbia,92,28.06.2019,04.07.2019
Jonas Blue feat. Theresa Rex,What I Like About You,Virgin Records,93,28.06.2019,04.07.2019
Capital Bra,Prinzessa,Universal Domestic Urban,94,28.06.2019,04.07.2019
Pietro Lombardi,Bella Donna,Universal Domestic Polydor,95,28.06.2019,04.07.2019
Matt Simons,Open Up,Pias,96,28.06.2019,04.07.2019
Calvin Harris & Rag'n'Bone Man,Giant,SME - Columbia,97,28.06.2019,04.07.2019
Post Malone,Wow.,Republic Records,98,28.06.2019,04.07.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,99,28.06.2019,04.07.2019
Panic! At The Disco,High Hopes,Atlantic,100,28.06.2019,04.07.2019
Capital Bra x Samra,Tilidin,Universal Domestic Urban,1,05.07.2019,11.07.2019
Shawn Mendes & Camila Cabello,Señorita,Island,2,05.07.2019,11.07.2019
Shirin David feat. Maître Gims,On Off,Shirin David Music,3,05.07.2019,11.07.2019
Ufo361 feat. Data Luv,Shot,Stay High,4,05.07.2019,11.07.2019
Lil Nas X,Old Town Road,SME - Columbia,5,05.07.2019,11.07.2019
Ed Sheeran & Justin Bieber,I Don't Care,Atlantic,6,05.07.2019,11.07.2019
Juju feat. Henning May,Vermissen,Jinx Music,7,05.07.2019,11.07.2019
Summer Cem feat. Capital Bra,Diamonds,Banger Musik,8,05.07.2019,11.07.2019
Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,9,05.07.2019,11.07.2019
Samra & Capital Bra,Wieder Lila,Universal Domestic Urban,10,05.07.2019,11.07.2019
Sarah Connor,Vincent,Universal Domestic Polydor,11,05.07.2019,11.07.2019
Luciano [DE],Im Plus,Universal Domestic Urban,12,05.07.2019,11.07.2019
Ed Sheeran feat. Khalid,Beautiful People,Atlantic,13,05.07.2019,11.07.2019
Billie Eilish,Bad Guy,Universal,14,05.07.2019,11.07.2019
Dardan feat. Eno,Wer macht Para 2,Universal Domestic Urban,15,05.07.2019,11.07.2019
"Kalazh44, Capital Bra & Samra feat. Nimo & Luciano",Royal Rumble,Kalazh44,16,05.07.2019,11.07.2019
Daddy Yankee feat. Snow,Con calma,Universal,17,05.07.2019,11.07.2019
Leon Machère & Kay One feat. Tilly,Portofino,PMR Music,18,05.07.2019,11.07.2019
Farid Bang feat. French Montana & Khaled,Maghreb Gang,Banger Musik,19,05.07.2019,11.07.2019
Sero el Mero,Dein Fahrer,Groove Attack TraX,20,05.07.2019,11.07.2019
Luciano [DE],La haine,Universal Domestic Urban,21,05.07.2019,11.07.2019
Bausa,Mary,Warner Music Germany,22,05.07.2019,11.07.2019
Ed Sheeran feat. Chance The Rapper & PnB Rock,Cross Me,Atlantic,23,05.07.2019,11.07.2019
"LX & Maxwell feat. Bonez MC, Gzuz, Sa4",100 Round Drum,187 Strassenbande,24,05.07.2019,11.07.2019
Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days,SME - Epic,25,05.07.2019,11.07.2019
Younotus & Janieck & Senex,Narcotic,B1 Recordings,26,05.07.2019,11.07.2019
Juju [DE],Hi Babe,Jinx Music,27,05.07.2019,11.07.2019
Avicii feat. Aloe Blacc,SOS,Universal,28,05.07.2019,11.07.2019
R3hab x A Touch Of Class,All Around The World (La La La),Virgin Records,29,05.07.2019,11.07.2019
Kygo x Whitney Houston,Higher Love,SME - Kygo,30,05.07.2019,11.07.2019
Loredana,Labyrinth,Loredana,31,05.07.2019,11.07.2019
Robin Schulz feat. Harlœ,All This Love,Warner Music Germany,32,05.07.2019,11.07.2019
OneRepublic,Rescue Me,Interscope,33,05.07.2019,11.07.2019
Shindy,EFH,SME - Friends With Money,34,05.07.2019,11.07.2019
Mabel [UK],Don't Call Me Up,Polydor,35,05.07.2019,11.07.2019
Pedro Capó,Calma,Sony Music,36,05.07.2019,11.07.2019
DJ Snake & J Balvin feat. Tyga,Loco contigo,Geffen Records,37,05.07.2019,11.07.2019
Mero,Olabilir,Groove Attack TraX,38,05.07.2019,11.07.2019
Olexesh feat. Calo,Feuer,Universal Domestic Urban,39,05.07.2019,11.07.2019
Dominic Fike,3 Nights,SME - Columbia,40,05.07.2019,11.07.2019
Dardan,Coco Mama,Universal Domestic Urban,41,05.07.2019,11.07.2019
Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,42,05.07.2019,11.07.2019
Fero47,NENENE,SME - Epic,43,05.07.2019,11.07.2019
Vize,Glad You Came,Kontor Records,44,05.07.2019,11.07.2019
Shindy,Nautilus,SME - Friends With Money,45,05.07.2019,11.07.2019
Dennis Lloyd,Never Go Back,SME - Arista,46,05.07.2019,11.07.2019
Jonas Brothers,Sucker,Jonas Brothers Recording,47,05.07.2019,11.07.2019
Adel Tawil feat. Peachy,Tu m'appelles,BMG,48,05.07.2019,11.07.2019
Michael Schulte,Back To The Start,Very Us Records,49,05.07.2019,11.07.2019
Capital Bra feat. Summer Cem & KC Rebell,Rolex,Universal Domestic Urban,50,05.07.2019,11.07.2019
Rammstein,Deutschland,Rammstein,51,05.07.2019,11.07.2019
Taylor Swift,You Need To Calm Down,Universal,52,05.07.2019,11.07.2019
Olexesh,Barrio,Universal Domestic Urban,53,05.07.2019,11.07.2019
Ufo361,Irina Shayk,Stay High,54,05.07.2019,11.07.2019
Shawn Mendes,If I Can't Have You,Island,55,05.07.2019,11.07.2019
Kontra K,Letzte Träne,BMG,56,05.07.2019,11.07.2019
Gamper & Dadoni feat. Emily Roberts,Bittersweet Symphony,Big Top Amsterdam,57,05.07.2019,11.07.2019
The Chainsmokers feat. Bebe Rexha,Call You Mine,SME - Columbia,58,05.07.2019,11.07.2019
RIN,Vintage,SME - Division,59,05.07.2019,11.07.2019
Milonair feat. Bonez MC,Autopilot,Chapter One,60,05.07.2019,11.07.2019
Fero47 feat. Kazad,Money,SME - Epic Domestic,61,05.07.2019,11.07.2019
Katy Perry,Never Really Over,Capitol,62,05.07.2019,11.07.2019
LX & Maxwell,Strassenbande,187 Strassenbande,63,05.07.2019,11.07.2019
Rammstein,Ausländer,Rammstein,64,05.07.2019,11.07.2019
Capo,Alexander Wang,Warner Music Germany,65,05.07.2019,11.07.2019
Vize feat. Laniia,Stars,Kontor Records,66,05.07.2019,11.07.2019
C Arma,Yapma,C Arma,67,05.07.2019,11.07.2019
Giovanni Zarrella feat. Pietro Lombardi,Senza te (Ohne dich),Telamo,68,05.07.2019,11.07.2019
Samra,Marlboro Rot,Universal Domestic Urban,69,05.07.2019,11.07.2019
Drake feat. Rick Ross,Money In The Grave,Republic Records,70,05.07.2019,11.07.2019
Imagine Dragons,Bad Liar,Interscope,71,05.07.2019,11.07.2019
Capital Bra,Cherry Lady,Universal Domestic Urban,72,05.07.2019,11.07.2019
LX & Maxwell feat. Bonez MC,Dachterasse,187 Strassenbande,73,05.07.2019,11.07.2019
The Prince Karma,Later Bitches,Kontor Records,74,05.07.2019,11.07.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,75,05.07.2019,11.07.2019
Lena,Don't Lie To Me,Universal Domestic Polydor,76,05.07.2019,11.07.2019
Ava Max,Sweet But Psycho,Atlantic,77,05.07.2019,11.07.2019
Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,78,05.07.2019,11.07.2019
KC Rebell feat. Gringo,Badewanne,Rebell Army,79,05.07.2019,11.07.2019
Mabel [UK],Mad Love,Polydor,80,05.07.2019,11.07.2019
LX & Maxwell feat. Bonez MC,Wassermelone,187 Strassenbande,81,05.07.2019,11.07.2019
YG feat. Tyga & Jon Z,Go Loko,Def Jam,82,05.07.2019,11.07.2019
Nico Santos,Unforgettable,Virgin Records,83,05.07.2019,11.07.2019
Jamule,Mamma Mia,Life Is Pain,84,05.07.2019,11.07.2019
Kygo and Rita Ora,Carry On,SME - RCA International,85,05.07.2019,11.07.2019
Ardian Bujupi x Fero47,Wie im Traum,SME - Columbia Domestic,86,05.07.2019,11.07.2019
LX & Maxwell feat. Bonez MC,Bunkerplatz,187 Strassenbande,87,05.07.2019,11.07.2019
Ava Max,So Am I,Atlantic,88,05.07.2019,11.07.2019
Alec Benjamin,Let Me Down Slowly,Atlantic,89,05.07.2019,11.07.2019
Mero,Wolke 10,Groove Attack TraX,90,05.07.2019,11.07.2019
Ellie Goulding,Sixteen,Polydor,91,05.07.2019,11.07.2019
Kontra K feat. Veysel,Blei,BMG,92,05.07.2019,11.07.2019
Chris Brown feat. Justin Bieber & Ink,Don't Check On Me,SME - Chris Brown,93,05.07.2019,11.07.2019
LX & Maxwell feat. Gzuz,Schicker Schlitten,187 Strassenbande,94,05.07.2019,11.07.2019
